date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:51	31498/31498	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-7b0a%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_824c09d1498b100403f709e2afea233a.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_824c09d1498b100403f709e2afea233a.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:51	60677/60677	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-ed05%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_c3e3da6b96cf9e42596e05c1cc2d7096.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_c3e3da6b96cf9e42596e05c1cc2d7096.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:51	387/387	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-183%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_fcb8fe6b33dc7263017161c07f2934f1.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_fcb8fe6b33dc7263017161c07f2934f1.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:51	1329/1329	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-531%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_7dd6efe7556ca666dca0126387feed72.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_7dd6efe7556ca666dca0126387feed72.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:52	42904/42904	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-a798%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_6af7da37740bca10632b4d6324db97b2.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_6af7da37740bca10632b4d6324db97b2.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:52	1405/1405	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-57d%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_888507254fe253ad1564b41bd724a1ca.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_888507254fe253ad1564b41bd724a1ca.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:52	472708/472708	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-73684%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_00ba05498c1f329fe95d18a53603bc19.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_00ba05498c1f329fe95d18a53603bc19.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:52	16449/16449	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-4041%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_40d2770408ede23bd7876736a36ddf56.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_40d2770408ede23bd7876736a36ddf56.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:53	40194/40194	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-9d02%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_6400452c65e00796ba9cb60551500da9.css	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_6400452c65e00796ba9cb60551500da9.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:53	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%2262b5ec42-e688%22	https://watchdocumentaries.com/wp-includes/css/dashicons.min.css?ver=6.0.1	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-includes/css/dashicons.min37ad.css	(from https://watchdocumentaries.com/snake-io-game/)
23:45:53	45223/45223	---M--	200	added ('OK')	image/jpeg	etag:%2262bfffc8-b0a7%22	https://watchdocumentaries.com/wp-content/themes/watchdocs/img/film-background.jpg	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/themes/watchdocs/img/film-background.jpg	(from https://watchdocumentaries.com/snake-io-game/)
23:45:53	1445/1445	---M--	200	added ('OK')	image/png	etag:%2262b5ebf7-5a5%22	https://watchdocumentaries.com/wp-content/uploads/cropped-Favicon-32x32.png	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/uploads/cropped-Favicon-32x32.png	(from https://watchdocumentaries.com/snake-io-game/)
23:45:53	16010/16010	---M--	200	added ('OK')	image/png	etag:%2262b5ebf7-3e8a%22	https://watchdocumentaries.com/wp-content/uploads/cropped-Favicon-192x192.png	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/uploads/cropped-Favicon-192x192.png	(from https://watchdocumentaries.com/snake-io-game/)
23:45:54	19071/19071	---M--	200	added ('OK')	image/png	etag:%2262b5ebf7-4a7f%22	https://watchdocumentaries.com/wp-content/uploads/cropped-Favicon-180x180.png	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/uploads/cropped-Favicon-180x180.png	(from https://watchdocumentaries.com/snake-io-game/)
23:45:54	89522/89522	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262fa730e-15db2%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_d29b20640542783878401e2fca7207a4.js	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_d29b20640542783878401e2fca7207a4.js	(from https://watchdocumentaries.com/snake-io-game/)
23:45:54	11226/11226	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262fa730e-2bda%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_3edfd9f871df349002ecd2ba3ccb5a30.js	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_3edfd9f871df349002ecd2ba3ccb5a30.js	(from https://watchdocumentaries.com/snake-io-game/)
23:45:54	7677/7677	---M-Z	200	added ('OK')	application/rss+xml	etag:%224ac62e5a5ac265460a51d14986b8dbf2-gzip%22	https://watchdocumentaries.com/snake-io-game/feed/	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/snake-io-game/feed/index.html	(from https://watchdocumentaries.com/snake-io-game/)
23:45:54	5324/5324	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262fa730e-14cc%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_7caa8efaec27a4f5ca9ca41233bef78a.js	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_7caa8efaec27a4f5ca9ca41233bef78a.js	(from https://watchdocumentaries.com/snake-io-game/)
23:45:55	30/30	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262fa730e-1e%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_caef3ace6139699b402c759ec05c3bff.js	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_caef3ace6139699b402c759ec05c3bff.js	(from https://watchdocumentaries.com/snake-io-game/)
23:45:55	8207/8207	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262fa730e-200f%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_9b95a0126657ef71c5df8f09b44f0de5.js	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/cache/breeze-minification/js/breeze_9b95a0126657ef71c5df8f09b44f0de5.js	(from https://watchdocumentaries.com/snake-io-game/)
23:45:55	4992/4992	---M--	200	added ('OK')	image/png	etag:%2262b5ebf4-1380%22	https://watchdocumentaries.com/wp-content/uploads/Logo.png	C:/Users/ccamp/OneDrive/Documents/all%20games/snake.io/watchdocumentaries.com/wp-content/uploads/Logo.png	(from https://watchdocumentaries.com/snake-io-game/)
