date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:44:17	267196/267196	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2016:24:39%20GMT	https://watchdocumentaries.com/subway-surfers-game/	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/subway-surfers-game/index.html	(from )
23:44:17	119/119	---M-Z	200	added ('OK')	text/plain	date:Mon,%2015%20Aug%202022%2016:25:24%20GMT	https://watchdocumentaries.com/robots.txt		(from )
23:44:17	88933/88933	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-15b65%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_2bcd151829563718207f802ab5ca3141.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_2bcd151829563718207f802ab5ca3141.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:17	3164/3164	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-c5c%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_43d7462ab41eefafca0dd464884084b1.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_43d7462ab41eefafca0dd464884084b1.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:17	1157/1157	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-485%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_e331f08163627a9d5dbecc3333b27b56.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_e331f08163627a9d5dbecc3333b27b56.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:17	490/490	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-1ea%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_5fa4f20162cf09cd339b797780992297.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_5fa4f20162cf09cd339b797780992297.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:18	14967/14967	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-3a77%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_722e9d18532da665cbde51e273f49703.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_722e9d18532da665cbde51e273f49703.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:18	107280/107280	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-1a310%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_89c4a358841f92c2151a0e689a2dc9b3.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_89c4a358841f92c2151a0e689a2dc9b3.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:18	11416/11416	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-2c98%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_e689a65a108eeaca044d5fd7d640cdad.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_e689a65a108eeaca044d5fd7d640cdad.css	(from https://watchdocumentaries.com/subway-surfers-game/)
23:44:18	4187/4187	---MCZ	200	added ('OK')	text/css	etag:W/%2262fa730e-105b%22	https://watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_f4dd2bc3085cf3b4987fc31d6d26cd53.css	C:/Users/ccamp/OneDrive/Documents/all%20games/subway%20surf/watchdocumentaries.com/wp-content/cache/breeze-minification/css/breeze_f4dd2bc3085cf3b4987fc31d6d26cd53.css	(from https://watchdocumentaries.com/subway-surfers-game/)
